describle,evaluate,introduce,movie_name,serial_number,star
曾经的那段美好会沉淀为一辈子的记忆。,286011人评价,导演:米林宏昌HiromasaYonebayashi主演:志田未来MiraiShida/神木...,借东西的小人阿莉埃蒂,126,8.7
触不到的恋人。,234635人评价,导演:大森贵弘TakahiroOmori主演:佐仓绫音AyaneSakura/内山昂辉K...,萤火之森,127,8.8
华太师是黄霑，吴镇宇四大才子之一。,496451人评价,导演:李力持Lik-ChiLee主演:周星驰StephenChow/巩俐LiGong/陈...,唐伯虎点秋香,128,8.5
诺兰就是保证。,386902人评价,导演:克里斯托弗·诺兰ChristopherNolan主演:克里斯蒂安·贝尔Christ...,蝙蝠侠：黑暗骑士崛起,129,8.7
Balalala~~~,519928人评价,导演:唐·霍尔DonHall/克里斯·威廉姆斯ChrisWilliams主演:斯科特...,超能陆战队,130,8.6
不要给它起名字，起了名字就有感情了。,336998人评价,导演:彼特·道格特PeteDocter/大卫·斯沃曼DavidSilverman主演:约...,怪兽电力公司,131,8.6
岁月流逝，来日可追。,376698人评价,导演:罗启锐AlexLaw主演:吴君如SandraNg/任达华SimonYam/钟绍...,岁月神偷,132,8.7
真相就在眼前。,265589人评价,导演:詹姆斯·温JamesWan主演:雷·沃纳尔LeighWhannell/加利·艾...,电锯惊魂,133,8.7
时代悲歌。,102672人评价,导演:黑泽明AkiraKurosawa主演:三船敏郎ToshirôMifune/志村乔...,七武士,134,9.2
像吃了苏打饼一样干脆的电影。,238936人评价,导演:保罗·格林格拉斯PaulGreengrass主演:马特·达蒙MattDamon/...,谍影重重3,135,8.7
爱，是个动词。,410231人评价,导演:理查德·柯蒂斯RichardCurtis主演:休·格兰特HughGrant/柯林...,真爱至上,136,8.6
老少皆宜，这就是好莱坞动画的魅力。,486449人评价,导演:科克·德·米科KirkDeMicco/克里斯·桑德斯ChrisSanders主演...,疯狂原始人,137,8.7
我的平常生活就是他人的幸福。,115607人评价,导演:是枝裕和HirokazuKoreeda主演:柳乐优弥YûyaYagira/北浦爱...,无人知晓,138,9.1
中国家庭的喜怒哀乐忍。,183547人评价,导演:李安AngLee主演:赵文瑄WinstonChao/郎雄SihungLung/归亚...,喜宴,139,8.9
幸福是生生不息，却难以触及的远。 ,256894人评价,导演:高畑勋IsaoTakahata主演:辰己努/白石绫乃/志乃原良子,萤火虫之墓,140,8.7
电影诗。,339149人评价,导演:王家卫KarWaiWong主演:张国荣LeslieCheung/林青霞Brigitte...,东邪西毒,141,8.6
英雄泪短，兄弟情长。 ,252420人评价,导演:吴宇森JohnWoo主演:周润发Yun-FatChow/狄龙LungTi/张国...,英雄本色,142,8.6
上帝之城+猜火车+阿甘正传+开心辞典=山寨富翁,477342人评价,导演:丹尼·鲍尔DannyBoyle/洛芙琳·坦丹LoveleenTandan主演:戴夫...,贫民窟的百万富翁,143,8.5
黑暗之美。,523016人评价,导演:达伦·阿罗诺夫斯基DarrenAronofsky主演:娜塔莉·波特曼Natalie...,黑天鹅,144,8.5
一个针管引发的血案。,354613人评价,导演:克里斯托弗·诺兰ChristopherNolan主演:盖·皮尔斯GuyPearce/...,记忆碎片,145,8.6
优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,439681人评价,导演:梅尔·吉布森MelGibson主演:安德鲁·加菲尔德AndrewGarfield/...,血战钢锯岭,146,8.7
荒诞讽刺，千奇百巧，抽丝剥茧，百转千回。,255548人评价,导演:忻钰坤YukunXin主演:霍卫民WeiminHuo/王笑天XiaotianWang...,心迷宫,147,8.7
爱是摈弃傲慢与偏见之后的曙光。,400490人评价,导演:乔·怀特JoeWright主演:凯拉·奈特莉KeiraKnightley/马修·...,傲慢与偏见,148,8.5
把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,279920人评价,导演:理查德·柯蒂斯RichardCurtis主演:多姆纳尔·格里森DomhnallGl...,时空恋旅人,149,8.7
始于荒诞，止于更荒诞。,205158人评价,导演:达米安·斯兹弗隆DamiánSzifron主演:达里奥·葛兰帝内提Darío...,荒蛮故事,150,8.8
生活在自己的世界里，也可以让周围的人显得可笑和渺小。,254870人评价,导演:巴瑞·莱文森BarryLevinson主演:达斯汀·霍夫曼DustinHoffman...,雨人,151,8.7
香港浪漫主义警匪动作片的巅峰之作。,208550人评价,导演:吴宇森JohnWoo主演:周润发Yun-FatChow/张国荣LeslieCheung...,纵横四海,152,8.7
任何信念的力量，都无法改变命运。,177627人评价,导演:弗朗西斯·福特·科波拉FrancisFordCoppola主演:阿尔·帕西诺A...,教父3,153,8.8
Jared Leto的腿比女人还美！,248747人评价,导演:让-马克·瓦雷Jean-MarcVallée主演:马修·麦康纳MatthewMcCon...,达拉斯买家俱乐部,154,8.7
跨度十五年的欢乐与泪水。,250113人评价,导演:李·昂克里奇LeeUnkrich主演:汤姆·汉克斯TomHanks/蒂姆·艾...,玩具总动员3,155,8.8
坏人的好总是比好人的好来得更感人。,111763人评价,导演:克林特·伊斯特伍德ClintEastwood主演:凯文·科斯特纳KevinCos...,完美的世界,156,9.1
当这个世界闭上双眼，他却敞开了怀抱。,153200人评价,导演:特瑞·乔治TerryGeorge主演:唐·钱德尔DonCheadle/苏菲·奥...,卢旺达饭店,157,8.9
偷情本没有这样美。,317143人评价,导演:王家卫KarWaiWong主演:梁朝伟TonyLeungChiuWai/张曼玉Ma...,花样年华,158,8.6
我们都有权利不与自己的过去和解。,276686人评价,导演:肯尼斯·罗纳根KennethLonergan主演:卡西·阿弗莱克CaseyAffle...,海边的曼彻斯特,159,8.6
大海啊，不全是水。,112941人评价,导演:雅克·贝汉JacquesPerrin/雅克·克鲁奥德JacquesCluzaud主演:...,海洋,160,9.0
爱情没有那么多借口，如果不能圆满，只能说明爱的不够。 ,363649人评价,导演:尼克·卡索维茨NickCassavetes主演:瑞恩·高斯林RyanGosling/...,恋恋笔记本,161,8.5
永远看不腻的喜剧。,132896人评价,导演:杰拉尔·乌里GérardOury主演:路易·德·菲耐斯LouisdeFunès...,虎口脱险,162,8.9
感情不分食草或者食肉。,190126人评价,导演:藤森雅也MasayaFujimori主演:山口胜平KappeiYamaguchi/爱河...,你看起来好像很好吃,163,8.8
热血沸腾，那个低俗、性感的无耻混蛋又来了。,333552人评价,导演:昆汀·塔伦蒂诺QuentinTarantino主演:杰米·福克斯JamieFoxx/...,被解救的姜戈,164,8.6
有一些东西不应该被遗忘。,154459人评价,导演:郭柯KeGuo主演:,二十二,165,8.7
愿我们都不用长大，每一座城堡都能永远存在。,315645人评价,导演:彼特·道格特PeteDocter/罗纳尔多·德尔·卡门RonaldoDelCarmen&nb...,头脑特工队,166,8.7
迪士尼和皮克斯拿错剧本的产物。,283475人评价,导演:瑞奇·莫尔RichMoore主演:约翰·C·赖利JohnC.Reilly/萨拉...,无敌破坏王,167,8.7
松鼠才是角儿。,355291人评价,导演:卡洛斯·沙尔丹哈CarlosSaldanha/克里斯·韦奇ChrisWedge主演...,冰川时代,168,8.5
穿越错位的时空，仰望陨落的星辰，你没留下你的名字，我却无法忘记那句“我爱你”。,688138人评价,导演:新海诚MakotoShinkai主演:神木隆之介RyûnosukeKamiki/上...,你的名字。,169,8.4
,450167人评价,导演:马丁·麦克唐纳MartinMcDonagh主演:弗兰西斯·麦克多蒙德France...,三块广告牌,170,8.7
传奇，不是每个人都可以拥有。,176643人评价,导演:爱德华·兹威克EdwardZwick主演:布拉德·皮特BradPitt/安东...,燃情岁月,171,8.8
骨灰级歌舞片。,117812人评价,导演:斯坦利·多南StanleyDonen/吉恩·凯利GeneKelly主演:吉恩·...,雨中曲,172,9.0
爱并不需要智商 。,140333人评价,导演:杰茜·尼尔森JessieNelson主演:SeanPenn/DakotaFanning/Mi...,我是山姆,173,8.9
这个世界从不善待努力的人，努力了也不一定会成功，但是知道自己在努力，就是活下去的动力。,305793人评价,导演:达米恩·查泽雷DamienChazelle主演:迈尔斯·特勒MilesTeller/...,爆裂鼓手,174,8.6
对爱的执着，可以超越一切。,244883人评价,导演:史蒂文·斯皮尔伯格StevenSpielberg主演:海利·乔·奥斯蒙Haley...,人工智能,175,8.6
好的剧本是，就算你猜到了结局也猜不到全部。,134990人评价,导演:今敏SatoshiKon主演:岩男润子JunkoIwao/松本梨香RicaMatsu...,未麻的部屋,176,8.9
爱上未来的你。 ,233636人评价,导演:细田守MamoruHosoda主演:仲里依纱RiisaNaka/石田卓也Takuya...,穿越时空的少女,177,8.6
中国式内在的美国电影。,157233人评价,导演:茂文·勒鲁瓦MervynLeRoy主演:费雯·丽VivienLeigh/罗伯特·...,魂断蓝桥,178,8.8
不可猜的青春迷笛。 ,295447人评价,导演:丹尼·博伊尔DannyBoyle主演:伊万·麦克格雷格EwanMcGregor/...,猜火车,179,8.5
他给机器起名“克里斯托弗”，因为这是他初恋的名字。,333179人评价,导演:莫滕·泰杜姆MortenTyldum主演:本尼迪克特·康伯巴奇BenedictC...,模仿游戏,180,8.6
惠及一生的美丽。,178856人评价,导演:汉内斯·赫尔姆HannesHolm主演:罗夫·拉斯加德RolfLassgård...,一个叫欧维的男人决定去死,181,8.8
被偷走的岁月，被伤害的生命，被禁锢的灵魂，终将被希望和善意救赎。,213135人评价,导演:伦尼·阿伯拉罕森LennyAbrahamson主演:布丽·拉尔森BrieLarson...,房间,182,8.8
养狗三日，便会对你终其一生。,87811人评价,导演:SeijirôKôyama主演:山本圭KeiYamamoto/井川比佐志Hisa...,忠犬八公物语,183,9.1
来啊，互相伤害啊！,311461人评价,导演:保罗·格诺维瑟PaoloGenovese主演:马可·贾利尼MarcoGiallini...,完美陌生人,184,8.5
不要企图在重复中寻找已经失去的爱。,429348人评价,导演:克里斯托弗·史密斯ChristopherSmith主演:梅利莎·乔治Melissa...,恐怖游轮,185,8.4
人生的N种可能性。,164775人评价,导演:黑泽明AkiraKurosawa主演:三船敏郎ToshirôMifune/千秋实...,罗生门,186,8.7
宫崎骏的电影总让人感觉世界是美好的，阳光明媚的。,259295人评价,导演:宫崎骏HayaoMiyazaki主演:高山南MinamiTakayama/佐久间玲Re...,魔女宅急便,187,8.6
王家卫是一种风格，张国荣是一个代表。,276964人评价,导演:王家卫KarWaiWong主演:张国荣LeslieCheung/张曼玉MaggieC...,阿飞正传,188,8.5
一个单凭体香达到高潮的男人。,344158人评价,导演:汤姆·提克威TomTykwer主演:本·卫肖BenWhishaw/艾伦·瑞克...,香水,189,8.5
想你时你在闹海。,112362人评价,导演:严定宪DingxianYan/王树忱ShuchenWang主演:梁正晖Zhenghui...,哪吒闹海,190,8.9
世界离独裁只有五天。,165105人评价,导演:丹尼斯·甘塞尔DennisGansel主演:尤尔根·沃格尔JürgenVogel...,浪潮,191,8.7
当爱情跨越年龄的界限，它似乎能变得更久远一点，成为一种责任，一种水到渠成的相濡以沫。 ,322818人评价,导演:史蒂芬·戴德利StephenDaldry主演:凯特·温丝莱特KateWinslet...,朗读者,192,8.5
不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,208507人评价,导演:AndyWachowski/LarryWachowski主演:基努·里维斯KeanuReeves...,黑客帝国3：矩阵革命,193,8.6
是枝裕和的家庭习作。,194105人评价,导演:是枝裕和HirokazuKoreeda主演:绫濑遥HarukaAyase/长泽雅美M...,海街日记,194,8.7
坚硬的信仰。,162072人评价,导演:陆川ChuanLu主演:多布杰Duobujie/张磊LeiZhang/亓亮QiL...,可可西里,195,8.7
谁说王家卫镜头很晃？,206208人评价,导演:保罗·格林格拉斯PaulGreengrass主演:马特·达蒙MattDamon/...,谍影重重2,196,8.6
哗啦啦啦啦，天在下雨，哗啦啦啦啦，云在哭泣……找自己。,246027人评价,导演:道格·里曼DougLiman主演:马特·达蒙MattDamon/弗兰卡·波坦...,谍影重重,197,8.5
做一颗让别人需要你的棋子。,213570人评价,导演:安德鲁·尼科尔AndrewNiccol主演:尼古拉斯·凯奇NicolasCage/...,战争之王,198,8.6
弱者送给弱者的一刀。,139174人评价,导演:杨德昌EdwardYang主演:张震ChenChang/杨静怡LisaYang/张...,牯岭街少年杀人事件,199,8.8
天使保护事件始末。,111930人评价,导演:阿米尔·汗AamirKhan主演:达席尔·萨法瑞DarsheelSafary/阿...,地球上的星星,200,8.9
人生如此，浮生如斯。谁人言，花彼岸，此生情长意短。谁都是不懂爱的罢了。,286303人评价,导演:徐克HarkTsui主演:张曼玉MaggieCheung/王祖贤JoeyWang/...,青蛇,201,8.5
故事的反转与反转，分裂电影的始祖。,111442人评价,导演:AlfredHitchcock主演:JanetLeigh/AnthonyPerkins/VeraMiles,惊魂记,202,8.9
中国版《两杆大烟枪》。,422929人评价,导演:宁浩HaoNing主演:郭涛TaoGuo/刘桦HuaLiu/连晋TeddyLin,疯狂的石头,203,8.4
只有有信仰的人才能说出事实真相。,161071人评价,导演:阿斯哈·法哈蒂AsgharFarhadi主演:佩曼·莫阿迪PeymanMoadi/...,一次别离,204,8.7
诺兰的牛逼来源于内心散发出的恐惧。,102627人评价,导演:克里斯托弗·诺兰ChristopherNolan主演:杰里米·西奥伯德Jeremy...,追随,205,8.9
少见的超越首部的续集，动作片中的经典。,186326人评价,导演:詹姆斯·卡梅隆JamesCameron主演:阿诺·施瓦辛格ArnoldSchwarz...,终结者2：审判日,206,8.6
邓肯·琼斯继《月球》之后再度奉献出一部精彩绝伦的科幻佳作。,499126人评价,导演:邓肯·琼斯DuncanJones主演:杰克·吉伦哈尔JakeGyllenhaal/...,源代码,207,8.4
黑小鸭速效美白记。,593133人评价,导演:普特鹏·普罗萨卡·那·萨克那卡林PuttipongPromsakaNaSakolnakorn/华森·波克彭...,初恋这件小事,208,8.3
宝莱坞的萝莉与大叔。,245193人评价,导演:卡比尔·汗KabirKhan主演:萨尔曼·汗SalmanKhan/哈莎莉·马...,小萝莉的猴神大叔,209,8.5
日本的家庭电影已经是世界巅峰了，步履不停是巅峰中的佳作。,125863人评价,导演:是枝裕和HirokazuKoreeda主演:阿部宽HiroshiAbe/夏川结衣Yu...,步履不停,210,8.8
传奇的年代，醉人的童话。,76252人评价,导演:王树忱ShuchenWang/钱运达YundaQian主演:丁建华JianhuaDin...,天书奇谭,211,9.1
嬉笑怒骂，调风动月。,241072人评价,导演:李惠民RaymondLee主演:张曼玉MaggieCheung/林青霞Brigitte...,新龙门客栈,212,8.5
爱我就给我看你的播放列表。,229099人评价,导演:约翰·卡尼JohnCarney主演:凯拉·奈特莉KeiraKnightley/马克...,再次出发之纽约遇见你,213,8.5
天使与魔鬼的冲撞。,210399人评价,导演:保罗·哈吉斯PaulHaggis主演:桑德拉·布洛克SandraBullock/...,撞车,214,8.6
一场没有春天的噩梦。,137784人评价,导演:达伦·阿伦诺夫斯基DarrenAronofsky主演:艾伦·伯斯汀EllenBur...,梦之安魂曲,215,8.7
所谓爱情，就是话唠一路，都不会心生腻烦，彼此嫌弃。,154060人评价,导演:理查德·林克莱特RichardLinklater主演:伊桑·霍克EthanHawke...,爱在午夜降临前,216,8.8
,82799人评价,导演:阿兰·葛斯彭纳AlainGsponer主演:阿努克·斯特芬AnukSteffen/...,海蒂和爷爷,217,9.1
昆汀同学越来越变态了，比北野武还杜琪峰。,276672人评价,导演:QuentinTarantino主演:布拉德·皮特BradPitt/梅拉尼·罗兰M...,无耻混蛋,218,8.5
东京那么大，如果有一天走失了，恐怕一辈子不能再相见。,67273人评价,导演:小津安二郎YasujirôOzu主演:笠智众ChishûRyû/原节...,东京物语,219,9.2
永远的小人物，伟大的卓别林。,60407人评价,导演:CharlesChaplin主演:查理·卓别林CharlesChaplin/弗吉尼亚·...,城市之光,220,9.3
天使暂时离开。,135989人评价,导演:FrankDarabont主演:汤姆·汉克斯TomHanks/大卫·摩斯DavidM...,绿里奇迹,221,8.7
小成本大魅力。,253904人评价,导演:詹姆斯·沃德·布柯特JamesWardByrkit主演:艾米丽·芭尔多尼Em...,彗星来的那一夜,222,8.5
每个美丽事物背后都是滴血的现实。,179395人评价,导演:爱德华·兹威克EdwardZwick主演:莱昂纳多·迪卡普里奥Leonardo...,血钻,223,8.6
科幻真正的魅力不是视觉效果能取代的。 ,233264人评价,导演:理查德·沙因克曼RichardSchenkman主演:大卫·李·史密斯David...,这个男人来自地球,224,8.5
生病的E.T.皮肤的颜色就像柿子饼。,199677人评价,导演:StevenSpielberg主演:HenryThomas/DeeWallace/RobertMacNa...,E.T. 外星人,225,8.5
现代科幻电影的开山之作，最伟大导演的最伟大影片。,136193人评价,导演:斯坦利·库布里克StanleyKubrick主演:凯尔·杜拉KeirDullea/...,2001太空漫游,226,8.7
没有了退路，只好飞向自由。,130555人评价,导演:雷德利·斯科特RidleyScott主演:吉娜·戴维斯GeenaDavis/苏...,末路狂花,227,8.7
新闻人的理性求真。,163075人评价,导演:托马斯·麦卡锡ThomasMcCarthy主演:马克·鲁弗洛MarkRuffalo/...,聚焦,228,8.8
类型片的极致。 ,173522人评价,导演:迈克尔·贝MichaelBay主演:肖恩·康纳利SeanConnery/尼古拉...,勇闯夺命岛,229,8.6
当发哥的风衣、墨镜出现在了凯奇身上⋯⋯,260256人评价,导演:吴宇森JohnWoo主演:约翰·特拉沃尔塔JohnTravolta/尼古拉斯...,变脸,230,8.4
我完全康复了。,226520人评价,导演:StanleyKubrick主演:MalcolmMcDowell/PatrickMagee/Michael...,发条橙,231,8.5
,411006人评价,导演:周星驰StephenChow主演:周星驰StephenChow/元秋QiuYuen/...,功夫,232,8.3
青春就是放弃和怀念。,387129人评价,导演:新海诚MakotoShinkai主演:水桥研二KenjiMizuhashi/近藤好美...,秒速5厘米,233,8.3
最棒的西部片。,66831人评价,导演:SergioLeone主演:ClintEastwood/EliWallach/LeeVanCleef,黄金三镖客,234,9.1
还原真实而残酷的战争。,157126人评价,导演:雷德利·斯科特RidleyScott主演:乔什·哈奈特JoshHartnett/...,黑鹰坠落,235,8.6
我不信仰上帝，但我敬畏上帝。,152552人评价,导演:布莱恩·辛格BryanSinger主演:史蒂芬·鲍德温StephenBaldwin/...,非常嫌疑犯,236,8.6
世界上有那么多女人那么多酒馆，但她偏偏走进我的这家。,152537人评价,导演:迈克尔·柯蒂兹MichaelCurtiz主演:亨弗莱·鲍嘉HumphreyBogart...,卡萨布兰卡,237,8.6
你要相信，这世上真的有爱存在，不管在什么年纪 ,78519人评价,导演:秋昌民Chang-minChoo主演:宋在河Jae-hoSong/李顺载Soon-jae...,我爱你,238,9.0
皇上无话儿。,415878人评价,导演:汤姆·霍珀TomHooper主演:柯林·菲尔斯ColinFirth/杰弗里·...,国王的演讲,239,8.4
一部能引人思考的科幻励志片。,120205人评价,导演:安德鲁·尼科尔AndrewNiccol主演:伊桑·霍克EthanHawke/乌玛...,千钧一发,240,8.7
,271262人评价,导演:乔治·米勒GeorgeMiller主演:汤姆·哈迪TomHardy/查理兹·塞...,疯狂的麦克斯4：狂暴之路,241,8.6
每个人的内心都是深不可测的大海。 ,226648人评价,导演:萨姆·门德斯SamMendes主演:凯文·史派西KevinSpacey/安妮特...,美国丽人,242,8.5
用剩余不多的时间，去燃烧整个生命。,174174人评价,导演:罗伯·莱纳RobReiner主演:杰克·尼科尔森JackNicholson/摩根...,遗愿清单,243,8.6
,288110人评价,导演:斯蒂芬·卓博斯基StephenChbosky主演:雅各布·特伦布莱JacobTr...,奇迹男孩,244,8.6
在那片深蓝中，感受来自大海的忧伤寂寞与美丽自由。,120123人评价,导演:LucBesson主演:让-马克·巴尔Jean-MarcBarr/让·雷诺JeanRe...,碧海蓝天,245,8.7
过去的如果就让它过去了，未来只会越来越糟！,461648人评价,导演:周申ShenZhou/刘露LuLiu主演:任素汐SuxiRen/大力DaLi...,驴得水,246,8.3
一个人的独角戏。,173692人评价,导演:罗伯特·泽米吉斯RobertZemeckis主演:汤姆·汉克斯TomHanks/...,荒岛余生,247,8.5
一群演技精湛的戏骨，奉献出一个精致的黑帮小品，成就杜琪峰群戏的巅峰之作。,126409人评价,导演:杜琪峰JohnnieTo主演:吴镇宇FrancisNg/任达华SimonYam/...,枪火,248,8.7
"In memory, love lives forever...",204535人评价,导演:安东尼·明格拉AnthonyMinghella主演:拉尔夫·费因斯RalphFien...,英国病人,249,8.5
出门必备：本草纲目。,155236人评价,导演:西恩·潘SeanPenn主演:埃米尔·赫斯基EmileHirsch/马西娅·...,荒野生存,250,8.6
